,Drive_Time,NormalValue,Drive_Time_Score
"101-31 110 STREET,11419,NYC",2375.0,52.5811823480433,3.154870940882598
"101-33 95 STREET,11416,NYC",2240.0,55.39134054954205,3.3234804329725227
"101-34 121 STREET,11419,NYC",2465.0,50.70774354704413,3.0424646128226476
"101-34 75 ROAD,11375,NYC",1870.0,63.0932556203164,3.7855953372189837
"101-34 95 STREET,11416,NYC",2241.0,55.37052456286428,3.322231473771857
"101-37 126 STREET,11419,NYC",2479.0,50.41631973355537,3.024979184013322
"101-39 124 STREET,11419,NYC",2444.0,51.14487926727727,3.068692756036636
"101-39 126 STREET,11419,NYC",2480.0,50.3955037468776,3.023730224812656
"101-40 114 STREET,11419,NYC",2481.0,50.37468776019983,3.0224812656119897
"101-40 126 STREET,11419,NYC",2479.0,50.41631973355537,3.024979184013322
"101-42 114 STREET,11419,NYC",2479.0,50.41631973355537,3.024979184013322
"101-42 121 STREET,11419,NYC",2458.0,50.85345545378851,3.051207327227311
"101-42 93 STREET,11416,NYC",2271.0,54.74604496253123,3.284762697751874
"101-42 94 STREET,11416,NYC",2261.0,54.954204829308914,3.297252289758535
"101-45 108 STREET,11419,NYC",2427.0,51.498751040799334,3.0899250624479597
"101-47 108 STREET,11419,NYC",2428.0,51.477935054121566,3.088676103247294
"101-47 113 STREET,11419,NYC",2400.0,52.060782681099084,3.123646960865945
"101-48 114 STREET,11419,NYC",2477.0,50.45795170691091,3.0274771024146547
"101-52 104 STREET,11416,NYC",2359.0,52.91423813488759,3.1748542880932553
"101-52 120 STREET,11419,NYC",2403.0,51.99833472106578,3.1199000832639467
"101-52 133 STREET,11419,NYC",2408.0,51.894254787676935,3.113655287260616
"101-53 116 STREET,11419,NYC",2492.0,50.14571190674438,3.008742714404663
"101-54 102 STREET,11416,NYC",2352.0,53.05995004163198,3.1835970024979185
"101-56 125 STREET,11419,NYC",2497.0,50.041631973355535,3.002497918401332
